week,metric_name,value
25,Customer Support Tickets,293.69
26,Customer Support Tickets,287.0
27,Customer Support Tickets,280.94
28,Customer Support Tickets,299.79
29,Customer Support Tickets,300.0
30,Customer Support Tickets,264.98
31,Customer Support Tickets,319.25
32,Customer Support Tickets,281.93
33,Customer Support Tickets,300.45
34,Customer Support Tickets,249.67
35,Customer Support Tickets,254.38
36,Customer Support Tickets,292.09
37,Customer Support Tickets,294.12
38,Customer Support Tickets,235.85
39,Customer Support Tickets,286.64
40,Customer Support Tickets,249.83
41,Customer Support Tickets,303.39
42,Customer Support Tickets,278.88
43,Customer Support Tickets,292.88
44,Customer Support Tickets,298.97
45,Customer Support Tickets,287.04
46,Customer Support Tickets,267.96
47,Customer Support Tickets,279.14
48,Customer Support Tickets,277.66
49,Customer Support Tickets,262.21
50,Customer Support Tickets,245.7
51,Customer Support Tickets,264.28
52,Customer Support Tickets,258.38
53,Customer Support Tickets,247.73
54,Customer Support Tickets,240.47
55,Customer Support Tickets,270.91
56,Customer Support Tickets,240.26
57,Customer Support Tickets,287.48
58,Customer Support Tickets,256.26
59,Customer Support Tickets,256.39
60,Customer Support Tickets,253.66
61,Customer Support Tickets,253.64
62,Customer Support Tickets,243.57
63,Customer Support Tickets,232.29
64,Customer Support Tickets,250.61
65,Customer Support Tickets,250.35
66,Customer Support Tickets,250.31
67,Customer Support Tickets,237.59
68,Customer Support Tickets,241.13
69,Customer Support Tickets,219.29
70,Customer Support Tickets,257.95
71,Customer Support Tickets,258.28
72,Customer Support Tickets,249.43
73,Customer Support Tickets,227.81
74,Customer Support Tickets,203.93
75,Customer Support Tickets,191.22
76,Customer Support Tickets,239.5
77,Customer Support Tickets,212.87
78,Customer Support Tickets,218.51
79,Customer Support Tickets,249.26
80,Customer Support Tickets,255.53
81,Customer Support Tickets,256.51
82,Customer Support Tickets,219.76
83,Customer Support Tickets,205.44
84,Customer Support Tickets,231.78
85,Customer Support Tickets,234.88
86,Customer Support Tickets,225.32
87,Customer Support Tickets,207.56
88,Customer Support Tickets,185.31
89,Customer Support Tickets,192.19
90,Customer Support Tickets,200.12
91,Customer Support Tickets,227.48
92,Customer Support Tickets,210.79
93,Customer Support Tickets,216.96
94,Customer Support Tickets,208.47
95,Customer Support Tickets,196.04
96,Customer Support Tickets,221.25
97,Customer Support Tickets,180.97
98,Customer Support Tickets,184.16
99,Customer Support Tickets,210.81
100,Customer Support Tickets,200.83
101,Customer Support Tickets,192.14
102,Customer Support Tickets,198.42
103,Customer Support Tickets,174.82
104,Customer Support Tickets,207.23
105,Customer Support Tickets,197.81
106,Customer Support Tickets,214.03
107,Customer Support Tickets,209.64
108,Customer Support Tickets,214.67
109,Customer Support Tickets,195.65
110,Customer Support Tickets,164.22
111,Customer Support Tickets,159.81
112,Customer Support Tickets,187.47
113,Customer Support Tickets,182.57
114,Customer Support Tickets,167.08
115,Customer Support Tickets,152.91
116,Customer Support Tickets,176.65
117,Customer Support Tickets,167.93
118,Customer Support Tickets,178.42
119,Customer Support Tickets,190.71
120,Customer Support Tickets,166.77
121,Customer Support Tickets,169.83
122,Customer Support Tickets,159.45
123,Customer Support Tickets,171.02
124,Customer Support Tickets,149.66
125,Customer Support Tickets,166.78
126,Customer Support Tickets,139.72
127,Customer Support Tickets,139.82
128,Customer Support Tickets,143.62
129,Customer Support Tickets,142.52
130,Customer Support Tickets,170.91
131,Customer Support Tickets,159.48
132,Customer Support Tickets,161.76
133,Customer Support Tickets,147.64
134,Customer Support Tickets,172.65
135,Customer Support Tickets,150.54
136,Customer Support Tickets,158.06
137,Customer Support Tickets,161.22
138,Customer Support Tickets,147.19
139,Customer Support Tickets,154.19
140,Customer Support Tickets,156.24
141,Customer Support Tickets,142.43
142,Customer Support Tickets,150.75
143,Customer Support Tickets,143.01
144,Customer Support Tickets,153.13
145,Customer Support Tickets,156.25
146,Customer Support Tickets,162.3
147,Customer Support Tickets,131.99
148,Customer Support Tickets,154.09
149,Customer Support Tickets,134.43
150,Customer Support Tickets,147.62
151,Customer Support Tickets,137.83
152,Customer Support Tickets,110.8
153,Customer Support Tickets,130.72
154,Customer Support Tickets,114.87
155,Customer Support Tickets,129.63
156,Customer Support Tickets,134.89
1,System Uptime,99.29
2,System Uptime,99.47
3,System Uptime,99.6
4,System Uptime,99.56
5,System Uptime,99.59
6,System Uptime,99.47
7,System Uptime,99.34
8,System Uptime,99.43
9,System Uptime,99.59
10,System Uptime,99.67
11,System Uptime,99.36
12,System Uptime,99.62
13,System Uptime,99.41
14,System Uptime,99.41
15,System Uptime,99.57
16,System Uptime,99.42
17,System Uptime,99.62
18,System Uptime,99.46
19,System Uptime,99.4
20,System Uptime,99.68
21,System Uptime,99.55
22,System Uptime,99.48
23,System Uptime,99.54
24,System Uptime,99.36
25,System Uptime,99.43
26,System Uptime,99.39
27,System Uptime,99.39
28,System Uptime,99.49
29,System Uptime,99.42
30,System Uptime,99.65
31,System Uptime,99.65
32,System Uptime,99.72
33,System Uptime,99.65
34,System Uptime,99.59
35,System Uptime,99.75
36,System Uptime,99.39
37,System Uptime,99.68
38,System Uptime,99.44
39,System Uptime,99.52
40,System Uptime,99.66
41,System Uptime,99.53
42,System Uptime,99.48
43,System Uptime,99.42
44,System Uptime,99.59
45,System Uptime,99.64
46,System Uptime,99.62
47,System Uptime,99.66
48,System Uptime,99.7
49,System Uptime,99.79
50,System Uptime,99.81
51,System Uptime,99.6
52,System Uptime,99.76
53,System Uptime,99.46
54,System Uptime,99.7
55,System Uptime,99.6
56,System Uptime,99.6
57,System Uptime,99.73
58,System Uptime,99.53
59,System Uptime,99.49
60,System Uptime,99.6
61,System Uptime,99.78
62,System Uptime,99.62
63,System Uptime,99.81
64,System Uptime,99.62
65,System Uptime,99.71
66,System Uptime,99.67
67,System Uptime,99.68
68,System Uptime,99.73
69,System Uptime,99.72
70,System Uptime,99.66
71,System Uptime,99.72
72,System Uptime,99.79
73,System Uptime,99.64
74,System Uptime,99.52
75,System Uptime,99.82
76,System Uptime,99.72
77,System Uptime,99.78
78,System Uptime,99.84
79,System Uptime,99.69
80,System Uptime,99.64
81,System Uptime,99.73
82,System Uptime,99.57
83,System Uptime,99.79
84,System Uptime,99.9
85,System Uptime,99.84
86,System Uptime,99.9
87,System Uptime,99.63
88,System Uptime,99.87
89,System Uptime,99.88
90,System Uptime,99.82
91,System Uptime,99.77
92,System Uptime,99.58
93,System Uptime,99.91
94,System Uptime,99.69
95,System Uptime,99.68
96,System Uptime,99.84
97,System Uptime,99.84
98,System Uptime,99.84
99,System Uptime,99.77
100,System Uptime,99.93
101,System Uptime,99.64
102,System Uptime,99.89
103,System Uptime,99.66
104,System Uptime,99.93
105,System Uptime,99.9
106,System Uptime,99.68
107,System Uptime,99.67
108,System Uptime,99.91
109,System Uptime,99.89
110,System Uptime,99.98
111,System Uptime,99.65
112,System Uptime,99.8
113,System Uptime,99.84
114,System Uptime,99.88
115,System Uptime,99.67
116,System Uptime,99.79
117,System Uptime,99.76
118,System Uptime,99.8
119,System Uptime,100.01
120,System Uptime,99.95
121,System Uptime,99.92
122,System Uptime,100.01
123,System Uptime,99.86
124,System Uptime,99.95
125,System Uptime,99.9
126,System Uptime,99.85
127,System Uptime,100.01
128,System Uptime,99.68
129,System Uptime,99.99
130,System Uptime,99.94
131,System Uptime,99.81
132,System Uptime,100.03
133,System Uptime,99.97
134,System Uptime,99.85
135,System Uptime,99.73
136,System Uptime,100.08
137,System Uptime,99.73
138,System Uptime,99.89
139,System Uptime,100.0
140,System Uptime,99.98
141,System Uptime,99.81
142,System Uptime,99.83
143,System Uptime,99.86
144,System Uptime,99.77
145,System Uptime,99.91
146,System Uptime,100.08
147,System Uptime,99.96
148,System Uptime,100.02
149,System Uptime,99.76
150,System Uptime,99.86
151,System Uptime,99.88
152,System Uptime,100.15
153,System Uptime,99.94
154,System Uptime,99.78
155,System Uptime,99.85
156,System Uptime,100.09
1,New User Signups,116.99
2,New User Signups,113.33
3,New User Signups,120.33
4,New User Signups,114.98
5,New User Signups,144.64
6,New User Signups,132.35
7,New User Signups,135.68
8,New User Signups,123.17
9,New User Signups,121.59
10,New User Signups,108.11
11,New User Signups,137.8
12,New User Signups,121.25
13,New User Signups,122.32
14,New User Signups,142.77
15,New User Signups,142.28
16,New User Signups,170.78
17,New User Signups,157.61
18,New User Signups,139.48
19,New User Signups,155.91
20,New User Signups,144.98
21,New User Signups,141.9
22,New User Signups,154.36
23,New User Signups,127.1
24,New User Signups,147.08
25,New User Signups,129.7
26,New User Signups,154.18
27,New User Signups,173.71
28,New User Signups,170.61
29,New User Signups,184.96
30,New User Signups,193.87
31,New User Signups,154.56
32,New User Signups,142.91
33,New User Signups,174.02
34,New User Signups,156.31
35,New User Signups,137.16
36,New User Signups,159.5
37,New User Signups,175.52
38,New User Signups,155.38
39,New User Signups,176.96
40,New User Signups,167.77
41,New User Signups,185.31
42,New User Signups,186.75
43,New User Signups,166.53
44,New User Signups,203.31
45,New User Signups,173.27
46,New User Signups,186.82
47,New User Signups,180.49
48,New User Signups,182.77
49,New User Signups,157.87
50,New User Signups,176.7
51,New User Signups,160.17
52,New User Signups,183.93
53,New User Signups,226.4
54,New User Signups,211.96
55,New User Signups,204.14
56,New User Signups,223.27
57,New User Signups,202.99
58,New User Signups,205.96
59,New User Signups,207.26
60,New User Signups,213.92
61,New User Signups,213.6
62,New User Signups,214.91
63,New User Signups,211.59
64,New User Signups,188.05
65,New User Signups,226.93
66,New User Signups,218.41
67,New User Signups,247.9
68,New User Signups,247.46
69,New User Signups,248.81
70,New User Signups,197.8
71,New User Signups,227.78
72,New User Signups,218.59
73,New User Signups,189.62
74,New User Signups,188.05
75,New User Signups,240.94
76,New User Signups,190.66
77,New User Signups,250.85
78,New User Signups,217.77
79,New User Signups,246.18
80,New User Signups,255.5
81,New User Signups,251.51
82,New User Signups,218.45
83,New User Signups,219.48
84,New User Signups,275.83
85,New User Signups,254.0
86,New User Signups,249.46
87,New User Signups,252.14
88,New User Signups,253.04
89,New User Signups,252.19
90,New User Signups,225.34
91,New User Signups,221.68
92,New User Signups,230.01
93,New User Signups,291.61
94,New User Signups,237.69
95,New User Signups,295.25
96,New User Signups,265.84
97,New User Signups,277.14
98,New User Signups,265.2
99,New User Signups,254.48
100,New User Signups,214.64
101,New User Signups,281.11
102,New User Signups,236.5
103,New User Signups,239.41
104,New User Signups,252.67
105,New User Signups,263.76
106,New User Signups,258.46
107,New User Signups,323.15
108,New User Signups,287.79
109,New User Signups,284.12
110,New User Signups,292.79
111,New User Signups,283.32
112,New User Signups,292.4
113,New User Signups,244.67
114,New User Signups,280.47
115,New User Signups,241.51
116,New User Signups,320.69
117,New User Signups,303.36
118,New User Signups,322.29
119,New User Signups,269.58
120,New User Signups,301.4
121,New User Signups,262.43
122,New User Signups,331.28
123,New User Signups,265.21
124,New User Signups,283.35
125,New User Signups,312.7
126,New User Signups,241.43
127,New User Signups,300.75
128,New User Signups,253.41
129,New User Signups,317.64
130,New User Signups,320.11
131,New User Signups,323.41
132,New User Signups,351.81
133,New User Signups,365.58
134,New User Signups,319.14
135,New User Signups,327.37
136,New User Signups,363.9
137,New User Signups,351.74
138,New User Signups,329.07
139,New User Signups,335.55
140,New User Signups,270.15
141,New User Signups,312.86
142,New User Signups,342.49
143,New User Signups,279.27
144,New User Signups,306.59
145,New User Signups,358.56
146,New User Signups,388.64
147,New User Signups,352.06
148,New User Signups,355.5
149,New User Signups,304.07
150,New User Signups,311.78
151,New User Signups,309.44
152,New User Signups,358.41
153,New User Signups,292.15
154,New User Signups,299.39
155,New User Signups,378.44
156,New User Signups,359.7
1,Revenue (Weekly),19878.84
2,Revenue (Weekly),19731.92
3,Revenue (Weekly),19182.99
4,Revenue (Weekly),20645.19
5,Revenue (Weekly),19962.24
6,Revenue (Weekly),19472.93
7,Revenue (Weekly),19107.84
8,Revenue (Weekly),20873.43
9,Revenue (Weekly),19616.36
10,Revenue (Weekly),18041.35
11,Revenue (Weekly),18328.95
12,Revenue (Weekly),19405.43
13,Revenue (Weekly),21720.06
14,Revenue (Weekly),20648.44
15,Revenue (Weekly),21997.91
16,Revenue (Weekly),22977.15
17,Revenue (Weekly),23081.25
18,Revenue (Weekly),22518.95
19,Revenue (Weekly),23407.08
20,Revenue (Weekly),21482.37
21,Revenue (Weekly),21056.56
22,Revenue (Weekly),20975.75
23,Revenue (Weekly),20956.68
24,Revenue (Weekly),21063.8
25,Revenue (Weekly),21697.89
26,Revenue (Weekly),24529.61
27,Revenue (Weekly),22537.24
28,Revenue (Weekly),25672.12
29,Revenue (Weekly),23928.03
30,Revenue (Weekly),26351.29
31,Revenue (Weekly),26606.43
32,Revenue (Weekly),22786.76
33,Revenue (Weekly),22874.75
34,Revenue (Weekly),24506.83
35,Revenue (Weekly),22188.78
36,Revenue (Weekly),24295.48
37,Revenue (Weekly),22871.82
38,Revenue (Weekly),24033.04
39,Revenue (Weekly),24071.47
40,Revenue (Weekly),27986.55
41,Revenue (Weekly),28977.5
42,Revenue (Weekly),28639.81
43,Revenue (Weekly),29612.8
44,Revenue (Weekly),25838.72
45,Revenue (Weekly),27038.43
46,Revenue (Weekly),27365.54
47,Revenue (Weekly),28018.12
48,Revenue (Weekly),25169.3
49,Revenue (Weekly),26415.54
50,Revenue (Weekly),26263.69
51,Revenue (Weekly),26941.04
52,Revenue (Weekly),27043.42
53,Revenue (Weekly),28839.54
54,Revenue (Weekly),28319.98
55,Revenue (Weekly),31619.74
56,Revenue (Weekly),28891.58
57,Revenue (Weekly),32208.05
58,Revenue (Weekly),31719.71
59,Revenue (Weekly),28956.61
60,Revenue (Weekly),28990.25
61,Revenue (Weekly),26987.76
62,Revenue (Weekly),26400.43
63,Revenue (Weekly),29942.32
64,Revenue (Weekly),31905.23
65,Revenue (Weekly),29877.41
66,Revenue (Weekly),30136.19
67,Revenue (Weekly),31617.01
68,Revenue (Weekly),30243.82
69,Revenue (Weekly),30158.78
70,Revenue (Weekly),33546.62
71,Revenue (Weekly),29535.5
72,Revenue (Weekly),30341.9
73,Revenue (Weekly),29267.12
74,Revenue (Weekly),31172.98
75,Revenue (Weekly),30648.64
76,Revenue (Weekly),30254.96
77,Revenue (Weekly),33231.81
78,Revenue (Weekly),30719.92
79,Revenue (Weekly),32060.14
80,Revenue (Weekly),35071.93
81,Revenue (Weekly),33484.37
82,Revenue (Weekly),35612.47
83,Revenue (Weekly),35076.65
84,Revenue (Weekly),34344.6
85,Revenue (Weekly),32630.77
86,Revenue (Weekly),33365.83
87,Revenue (Weekly),30441.87
88,Revenue (Weekly),35141.64
89,Revenue (Weekly),34541.25
90,Revenue (Weekly),33186.47
91,Revenue (Weekly),34007.63
92,Revenue (Weekly),38692.14
93,Revenue (Weekly),39739.62
94,Revenue (Weekly),35368.64
95,Revenue (Weekly),40376.45
96,Revenue (Weekly),37026.31
97,Revenue (Weekly),38937.11
98,Revenue (Weekly),36761.62
99,Revenue (Weekly),37285.27
100,Revenue (Weekly),32790.92
101,Revenue (Weekly),37062.55
102,Revenue (Weekly),33351.07
103,Revenue (Weekly),38782.87
104,Revenue (Weekly),36636.26
105,Revenue (Weekly),38049.05
106,Revenue (Weekly),36922.51
107,Revenue (Weekly),39822.02
108,Revenue (Weekly),43151.75
109,Revenue (Weekly),38653.21
110,Revenue (Weekly),42094.42
111,Revenue (Weekly),41276.85
112,Revenue (Weekly),35234.86
113,Revenue (Weekly),37837.98
114,Revenue (Weekly),37141.02
115,Revenue (Weekly),39021.12
116,Revenue (Weekly),36827.65
117,Revenue (Weekly),42115.99
118,Revenue (Weekly),40067.89
119,Revenue (Weekly),39568.3
120,Revenue (Weekly),44111.65
121,Revenue (Weekly),42806.94
122,Revenue (Weekly),44019.61
123,Revenue (Weekly),43124.94
124,Revenue (Weekly),43304.76
125,Revenue (Weekly),37195.53
126,Revenue (Weekly),40368.56
127,Revenue (Weekly),42672.37
128,Revenue (Weekly),38478.77
129,Revenue (Weekly),41964.35
130,Revenue (Weekly),39464.2
131,Revenue (Weekly),41932.59
132,Revenue (Weekly),41686.61
133,Revenue (Weekly),46352.35
134,Revenue (Weekly),42912.64
135,Revenue (Weekly),46809.15
136,Revenue (Weekly),46681.7
137,Revenue (Weekly),46193.71
138,Revenue (Weekly),42510.24
139,Revenue (Weekly),44317.14
140,Revenue (Weekly),39976.63
141,Revenue (Weekly),40514.05
142,Revenue (Weekly),41571.24
143,Revenue (Weekly),42604.79
144,Revenue (Weekly),44682.96
145,Revenue (Weekly),48036.01
146,Revenue (Weekly),49833.98
147,Revenue (Weekly),48839.44
148,Revenue (Weekly),48344.61
149,Revenue (Weekly),47968.53
150,Revenue (Weekly),43774.93
151,Revenue (Weekly),47325.4
152,Revenue (Weekly),40708.12
153,Revenue (Weekly),42494.1
154,Revenue (Weekly),44469.44
155,Revenue (Weekly),45113.54
156,Revenue (Weekly),44482.23
1,Deployment Frequency,2.7
2,Deployment Frequency,3.61
3,Deployment Frequency,3.27
4,Deployment Frequency,3.19
5,Deployment Frequency,3.92
6,Deployment Frequency,3.76
7,Deployment Frequency,2.85
8,Deployment Frequency,2.85
9,Deployment Frequency,3.45
10,Deployment Frequency,3.18
11,Deployment Frequency,4.35
12,Deployment Frequency,4.24
13,Deployment Frequency,4.25
14,Deployment Frequency,3.67
15,Deployment Frequency,3.33
16,Deployment Frequency,3.76
17,Deployment Frequency,4.25
18,Deployment Frequency,3.79
19,Deployment Frequency,3.57
20,Deployment Frequency,3.97
21,Deployment Frequency,4.66
22,Deployment Frequency,5.02
23,Deployment Frequency,4.4
24,Deployment Frequency,3.58
25,Deployment Frequency,4.31
26,Deployment Frequency,5.4
27,Deployment Frequency,4.88
